word,share,region,word,share,region,word,share,region,word,share,region,word,share,region
trade,3.66,Africa,repair,2.21,Asia & Oceania,repair,2.67,Europe,repair,3.49,North America,car,3.41,Latin America & Caribbean
repair,2.15,Africa,car,1.67,Asia & Oceania,car,1.92,Europe,small,2.15,North America,repair,2.58,Latin America & Caribbean
local,1.32,Africa,online,1.56,Asia & Oceania,online,1.69,Europe,auto,1.29,North America,workshop,1.7,Latin America & Caribbean
car,1.27,Africa,woman,1.5,Asia & Oceania,trade,1.51,Europe,food,1.18,North America,home,1.69,Latin America & Caribbean
clothes,1.18,Africa,clothes,1.43,Asia & Oceania,individual,1.26,Europe,home,1.18,North America,food,1.27,Latin America & Caribbean
secondhand,1.07,Africa,accessory,0.92,Asia & Oceania,clothing,1.09,Europe,clothes,1.01,North America,manufacture,1.25,Latin America & Caribbean
spare,0.96,Africa,household,0.91,Asia & Oceania,client,1.08,Europe,restaurant,0.94,North America,craft,1.06,Latin America & Caribbean
