word,share,region,word,share,region,word,share,region,word,share,region,word,share,region
trade,3.66,Africa,repair,2.21,Asia & Oceania,repair,2.67,Europe,car,3.41,Latin America & Caribbean,repair,3.49,North America
repair,2.15,Africa,car,1.67,Asia & Oceania,car,1.92,Europe,repair,2.58,Latin America & Caribbean,small,2.15,North America
local,1.32,Africa,online,1.56,Asia & Oceania,online,1.69,Europe,workshop,1.7,Latin America & Caribbean,auto,1.29,North America
car,1.27,Africa,woman,1.5,Asia & Oceania,trade,1.51,Europe,home,1.69,Latin America & Caribbean,food,1.18,North America
clothes,1.18,Africa,clothes,1.43,Asia & Oceania,individual,1.26,Europe,food,1.27,Latin America & Caribbean,home,1.18,North America
secondhand,1.07,Africa,accessory,0.92,Asia & Oceania,clothing,1.09,Europe,manufacture,1.25,Latin America & Caribbean,clothes,1.01,North America
spare,0.96,Africa,household,0.91,Asia & Oceania,client,1.08,Europe,craft,1.06,Latin America & Caribbean,restaurant,0.94,North America
